Season,ContestID,Date,Team,Conference,Opponent Team,Opponent Conference,Location,Player,P,S,Kills,Errors,TotalAttacks,Assists,Aces,SErr,ServeAtt,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,BHE,SetErr,SetAtt,OpponentRPI,OpponentModifier,HitPct,Passes,GIS,m_atk,m_blk,m_set,m_srv,m_rec,m_dig,pos_atk,pos_blk,pos_set,pos_srv,pos_rec,pos_dig,errors_total,raw_gis_plus,GIS_Plus,ContextMissing
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Addi Applegate,L/DS,3,0,0,0,0,0,0,0.0,3,4,0,0,0,0,0,0.0,3.0,0.6842,1.1488,0.0,4,1.75,1.0,1.0,0.9952,1.0,1.1274,1.023,0.0,0.0,0.0,0.0,1.1274,0.7673,0.0,1.8946,2.1765,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Kaia Castle,MB,3,1,5,14,0,0,1,2.0,1,0,0,0,4,1,0,0.0,1.0,0.6842,1.1488,-0.2857,0,-3.75,0.457,0.7785,0.9568,0.595,1.0,0.9436,0.457,1.5569,0.0,0.0,0.0,0.2359,7.0,-4.7502,-5.4569,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Megan Fitch,OH,3,10,2,28,2,0,2,9.0,8,31,2,0,1,0,0,0.0,4.0,0.6842,1.1488,0.2857,29,14.75,1.0928,1.056,1.0694,0.7224,0.8429,1.0634,10.9283,0.528,1.0694,0.0,6.1107,2.1268,6.0,14.7632,16.9596,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Margot Manning,S,3,0,0,0,0,0,1,7.0,1,0,0,0,0,0,0,0.0,0.0,0.6842,1.1488,0.0,0,-0.75,1.0,1.0,1.0,0.6376,1.0,1.0282,0.0,0.0,0.0,0.0,0.0,0.257,1.0,-0.743,-0.8535,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Taryn Morris,OPP,3,7,1,15,0,0,3,12.0,1,1,0,0,2,0,0,0.0,0.0,0.6842,1.1488,0.4,1,4.5,1.2024,1.0896,1.0,0.5795,1.0405,0.9436,8.4169,1.0896,0.0,0.0,0.2601,0.2359,4.0,6.0025,6.8956,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Kirra Musgrove,S,3,2,1,7,17,0,1,10.0,4,0,0,0,2,0,0,0.0,45.0,0.6842,1.1488,0.1429,0,10.5,0.9431,1.0896,1.7396,0.6695,1.0,0.8309,1.8862,1.0896,14.7865,0.0,0.0,0.8309,2.0,16.5931,19.0619,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Lily Nicholson,S,3,0,0,0,12,0,0,0.0,5,0,0,0,0,0,0,0.0,34.0,0.6842,1.1488,0.0,0,7.25,1.0,1.0,1.3134,1.0,1.0,0.8049,0.0,0.0,7.8805,0.0,0.0,1.0061,0.0,8.8866,10.2088,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Natalie Ring,OH,3,13,8,36,0,0,1,10.0,2,13,1,0,2,0,0,0.0,2.0,0.6842,1.1488,0.1389,12,7.5,0.8861,1.0896,0.9164,0.5812,0.7927,1.1014,11.5189,1.0896,0.0,0.0,2.3782,0.5507,10.0,5.5374,6.3612,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Gabi Rodriguez,L,3,0,0,0,3,1,1,12.0,6,15,0,0,0,0,0,0.0,13.0,0.6842,1.1488,0.0,15,6.75,1.0,1.0,0.9542,0.8973,0.8406,1.1449,0.0,0.0,1.4313,0.8973,3.1523,1.7174,1.0,6.1982,7.1204,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Eliza Sharp,MB,3,3,5,12,0,0,0,1.0,0,0,0,0,3,0,0,0.0,0.0,0.6842,1.1488,-0.1667,0,-0.5,0.6123,1.112,1.0,0.8633,1.0,1.0,1.837,1.6679,0.0,0.0,0.0,0.0,5.0,-1.4951,-1.7175,False
2026-2027,6599090,2026-08-23,Texas A&M,SEC,SMU,ACC,Neutral,Amare Hernandez,OH,1,0,0,0,0,1,0,2.0,0,0,0,0,0,0,0,0.0,1.0,0.6842,1.1488,0.0,0,1.0,1.0,1.0,0.9568,1.3895,1.0,1.0,0.0,0.0,0.0,1.3895,0.0,0.0,0.0,1.3895,1.5962,False
2026-2027,6599090,2026-08-23,SMU,ACC,Texas A&M,SEC,Neutral,Favor Anyanwu,MB,3,7,1,12,0,0,2,7.0,1,0,0,0,7,0,0,0.0,2.0,0.7238,1.1801,0.5,0,7.75,1.2849,1.1567,0.9164,0.5317,1.0,0.9436,8.9943,4.0486,0.0,0.0,0.0,0.2359,3.0,10.2788,12.1305,False
2026-2027,6599090,2026-08-23,SMU,ACC,Texas A&M,SEC,Neutral,Hannah Beauford,S,3,3,0,6,33,0,3,12.0,5,0,0,0,2,0,0,0.0,69.0,0.7238,1.1801,0.5,0,18.75,1.1959,1.0896,1.5475,0.7384,1.0,1.0,3.5876,1.0896,25.5341,0.0,0.0,1.25,3.0,28.4612,33.5884,False
2026-2027,6599090,2026-08-23,SMU,ACC,Texas A&M,SEC,Neutral,Suli Davis,OH,3,15,7,38,2,0,1,14.0,5,17,1,0,1,0,0,0.0,5.0,0.7238,1.1801,0.2105,16,12.75,0.9896,1.056,1.0292,1.0837,0.8053,1.0,14.8446,0.528,1.0292,0.0,3.221,1.25,9.0,11.8728,14.0117,False
