"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","TB","PTS","BHE"
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",3,"Kate Brennan","MB",3,7,1,9,0.667,1,4,1,2,0,0,0,1,0,0.5,11.5,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",12,"Izzy Clavenna","OH",3,7,1,15,0.4,0,0,0,5,1,0,0,1,0,0.5,7.5,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",11,"Alayna Crabtree","OH",3,8,2,19,0.316,0,2,0,3,13,1,0,2,0,1,11,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",18,"Bridget Green","L",3,0,0,1,0,1,0,1,9,2,0,0,0,0,0,0,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",23,"Julia Haggerty","MB",3,7,1,11,0.545,0,0,0,0,2,0,1,7,0,4.5,11.5,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",9,"Katrina Jensen","OH",3,7,2,17,0.294,0,0,0,0,9,1,0,3,0,1.5,8.5,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",10,"Peyton Minyard","MB",1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",4,"Anna Murphy","L",3,0,0,0,0,1,0,1,8,14,1,0,0,0,0,0,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",1,"Grace Penn","S",3,0,0,0,0,22,2,2,5,0,0,0,0,0,0,2,1
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",19,"Jane Petrie","S",3,0,0,0,0,14,0,1,2,0,0,0,0,0,0,0,1
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",6,"Jenna Pollock","MB",3,3,1,6,0.333,0,0,0,2,0,0,0,2,0,1,4,0
"Boston College","2022-2023",2022-08-26,"Boston College","ACC","Siena","MAAC","Away",21,"Nikki Steinheiser","OH",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",3,"Kate Brennan","MB",3,6,2,9,0.444,1,1,0,2,0,0,0,4,0,2,9,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",12,"Izzy Clavenna","OH",3,9,4,19,0.263,0,0,0,1,0,0,0,4,0,2,11,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",20,"Audrey Della Vedova","OPP",3,7,4,19,0.158,0,0,0,2,0,0,0,0,0,0,7,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",18,"Bridget Green","L",3,0,0,0,0,0,0,1,11,6,2,0,0,0,0,0,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",23,"Julia Haggerty","MB",2,4,0,4,1,0,0,0,2,0,0,0,1,0,0.5,4.5,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",2,"Silvia Ianeselli","OH",3,9,5,20,0.2,0,0,0,4,14,0,0,0,0,0,9,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",5,"Sophia Lambros","S",3,0,0,0,0,19,1,0,7,0,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",8,"Grace Milliken","MB",1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",4,"Anna Murphy","L",3,0,0,0,0,2,1,0,12,10,1,0,0,0,0,1,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",1,"Grace Penn","S",3,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",17,"Cornelia Roach","MB",1,1,0,2,0.5,0,0,0,0,0,0,0,1,0,0.5,1.5,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","Binghamton","America East","Away",21,"Nikki Steinheiser","OH",3,10,3,27,0.259,0,1,1,11,17,0,0,2,0,1,12,3
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",3,"Kate Brennan","MB",4,8,2,14,0.429,0,0,1,1,0,0,2,4,0,4,12,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",12,"Izzy Clavenna","OH",4,12,1,18,0.611,0,0,0,4,0,0,0,0,1,1,12,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",11,"Alayna Crabtree","OH",4,10,8,31,0.065,0,2,2,7,18,1,0,3,0,1.5,13.5,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",18,"Bridget Green","L",4,1,0,2,0.5,3,0,2,5,10,0,0,0,0,0,1,1
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",23,"Julia Haggerty","MB",2,4,0,4,1,0,0,0,1,1,0,0,3,0,1.5,5.5,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",2,"Silvia Ianeselli","OH",1,0,0,2,0,0,0,0,2,9,0,0,1,0,0.5,0.5,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",9,"Katrina Jensen","OH",4,10,5,34,0.147,0,0,0,3,7,2,0,2,0,1,11,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",8,"Grace Milliken","MB",2,1,0,2,0.5,0,0,0,1,0,0,0,2,0,1,2,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",10,"Peyton Minyard","MB",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",4,"Anna Murphy","L",4,0,0,0,0,2,2,1,20,21,1,0,0,0,0,2,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",1,"Grace Penn","S",4,0,0,0,0,23,1,0,8,0,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",19,"Jane Petrie","S",4,0,0,2,0,24,3,2,7,0,0,0,0,0,0,3,1
"Boston College","2022-2023",2022-08-27,"Boston College","ACC","UMES","MEAC","Home",6,"Jenna Pollock","MB",4,9,4,22,0.227,1,0,0,1,0,0,0,3,0,1.5,10.5,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",3,"Kate Brennan","MB",3,12,0,14,0.857,0,0,1,7,0,0,1,2,0,2,14,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",12,"Izzy Clavenna","OH",3,5,4,19,0.053,0,0,0,2,0,0,0,1,0,0.5,5.5,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",11,"Alayna Crabtree","OH",3,11,5,28,0.214,1,0,0,7,19,1,0,1,0,0.5,11.5,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",18,"Bridget Green","L",3,0,1,2,-0.5,0,0,3,7,7,1,0,0,0,0,0,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",23,"Julia Haggerty","MB",3,4,0,5,0.8,0,0,0,0,0,0,1,2,0,2,6,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",9,"Katrina Jensen","OH",3,6,2,16,0.25,0,0,0,0,6,0,0,0,0,0,6,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",5,"Sophia Lambros","S",3,0,0,1,0,12,1,0,3,0,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",4,"Anna Murphy","L",3,0,0,2,0,0,0,1,16,19,0,0,0,0,0,0,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",1,"Grace Penn","S",3,0,0,3,0,24,1,2,7,0,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",19,"Jane Petrie","S",1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",6,"Jenna Pollock","MB",3,5,2,9,0.333,0,0,0,4,0,0,0,2,0,1,6,0
"Boston College","2022-2023",2022-09-02,"Boston College","ACC","Montana St.","Big Sky","Home",21,"Nikki Steinheiser","OH",1,1,2,6,-0.167,0,0,1,1,4,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",3,"Kate Brennan","MB",3,5,2,8,0.375,0,0,2,1,1,0,1,6,0,4,9,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",12,"Izzy Clavenna","OH",3,9,3,20,0.3,0,0,0,6,0,0,1,2,0,2,11,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",11,"Alayna Crabtree","OH",3,5,2,11,0.273,0,2,1,5,11,0,0,2,0,1,8,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",20,"Audrey Della Vedova","OPP",1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",18,"Bridget Green","L",3,0,0,0,0,0,2,2,8,8,0,0,0,0,0,2,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",23,"Julia Haggerty","MB",1,2,0,4,0.5,0,0,0,0,0,0,0,1,0,0.5,2.5,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",2,"Silvia Ianeselli","OH",3,6,1,21,0.238,0,0,1,2,17,0,0,3,0,1.5,7.5,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",8,"Grace Milliken","MB",2,3,2,6,0.167,0,0,0,1,0,0,0,2,0,1,4,0
"Boston College","2022-2023",2022-09-03,"Boston College","ACC","Harvard","Ivy League","Away",4,"Anna Murphy","L",3,0,0,0,0,2,1,0,12,12,1,0,0,0,0,1,0
