"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RetAtt","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",23,"Julia Haggerty","MB",3,4,0,6,0.667,0,0,0,1,0,0,1,8,1,9,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",14,"Anna Herrington","MB",3,3,3,16,0,2,0,0,2,0,0,0,4,0,5,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",12,"Sam Hoppes","OPP",2,5,4,11,0.091,0,0,0,1,0,0,0,1,0,5.5,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",5,"Sophia Lambros","S",3,0,0,1,0,18,0,1,5,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",24,"Sequoia Layne","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",19,"Jane Petrie","S",3,0,0,0,0,13,1,0,6,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",6,"Jenna Pollock","MB",2,0,1,2,-0.5,0,0,0,0,0,0,0,2,0,1,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",11,"Morgan Riddle","L/DS",3,0,0,0,0,1,2,0,13,7,1,0,0,0,2,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",17,"Cornelia Roach","MB",3,5,0,9,0.556,1,0,0,1,0,0,0,5,0,7.5,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",13,"Audrey Ross","OH",3,12,3,30,0.3,0,0,0,3,22,3,0,2,0,13,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",2,"Halle Schroder","OH",3,12,5,39,0.179,0,2,1,11,22,2,0,4,0,16,0
"Boston College","2024-2025",2024-08-30,"Boston College","ACC","Texas Tech","Big 12","Home",16,"Brooklyn Yelland","L/DS",3,0,0,0,0,2,0,1,7,4,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",1,"Emilia Bernal","L/DS",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",23,"Julia Haggerty","MB",4,9,2,19,0.368,0,0,0,1,0,0,0,8,1,13,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",14,"Anna Herrington","MB",4,8,3,14,0.357,0,0,0,0,0,0,0,5,0,10.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",7,"Hanna Hoffman","S",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",12,"Sam Hoppes","OPP",3,6,0,14,0.429,0,0,0,7,0,0,0,5,0,8.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",5,"Sophia Lambros","S",4,0,0,0,0,29,0,1,7,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",19,"Jane Petrie","S",4,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",33,"Isabelle Poehlein","OPP",1,0,1,3,-0.333,0,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",6,"Jenna Pollock","MB",1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",11,"Morgan Riddle","L/DS",4,0,0,0,0,6,4,0,17,10,1,0,0,0,4,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",17,"Cornelia Roach","MB",4,4,1,9,0.333,0,0,1,2,1,0,0,6,1,7,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",13,"Audrey Ross","OH",4,16,9,36,0.194,0,0,0,2,18,2,1,3,0,18.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",2,"Halle Schroder","OH",4,16,6,44,0.227,0,4,2,12,34,2,0,1,0,20.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Eastern Ky.","ASUN","Home",16,"Brooklyn Yelland","L/DS",4,0,0,0,0,2,0,1,1,6,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",23,"Julia Haggerty","MB",1,0,0,3,0,0,0,0,0,0,0,1,5,0,3.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",14,"Anna Herrington","MB",3,7,1,18,0.333,0,0,0,1,0,0,0,7,0,10.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",7,"Hanna Hoffman","S",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",12,"Sam Hoppes","OPP",3,6,0,11,0.545,0,0,0,1,0,0,0,2,0,7,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",5,"Sophia Lambros","S",2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",24,"Sequoia Layne","OH",3,7,2,21,0.238,0,1,0,4,8,1,0,1,0,8.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",8,"Grace Milliken","MB",2,5,1,7,0.571,1,0,0,1,0,0,0,3,0,6.5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",10,"Aubrey Moore","S",3,0,0,0,0,17,4,3,3,0,0,0,0,0,4,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",15,"Lucy Mott","S",1,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",33,"Isabelle Poehlein","OPP",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",4,"Danica Rach","OH",1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",11,"Morgan Riddle","L/DS",3,0,0,0,0,2,0,1,7,4,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",17,"Cornelia Roach","MB",3,4,0,7,0.571,1,0,1,0,0,0,0,2,0,5,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",13,"Audrey Ross","OH",3,13,3,22,0.455,1,0,1,4,19,0,0,0,0,13,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",2,"Halle Schroder","OH",1,0,0,2,0,1,0,0,6,3,0,0,0,0,0,0
"Boston College","2024-2025",2024-08-31,"Boston College","ACC","Iona","MAAC","Home",16,"Brooklyn Yelland","L/DS",3,0,0,0,0,2,1,1,10,13,2,0,0,0,1,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",1,"Emilia Bernal","L/DS",2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",23,"Julia Haggerty","MB",3,7,1,14,0.429,0,0,0,0,3,0,2,5,2,11.5,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",14,"Anna Herrington","MB",3,7,1,16,0.375,1,0,0,3,0,0,0,4,1,9,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",12,"Sam Hoppes","OPP",3,7,1,17,0.353,1,0,0,1,0,0,0,1,0,7.5,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",5,"Sophia Lambros","S",3,0,1,1,-1,27,0,2,8,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",10,"Aubrey Moore","S",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",19,"Jane Petrie","S",3,0,0,0,0,14,0,1,6,0,0,0,0,0,0,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",17,"Cornelia Roach","MB",3,4,0,7,0.571,0,0,1,0,0,0,1,1,0,5.5,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",13,"Audrey Ross","OH",3,12,2,26,0.385,0,0,2,3,19,1,1,1,1,13.5,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",2,"Halle Schroder","OH",3,11,3,38,0.211,0,4,2,8,27,1,0,2,0,16,0
"Boston College","2024-2025",2024-09-06,"Boston College","ACC","Fairfield","MAAC","Away",16,"Brooklyn Yelland","L/DS",3,0,1,1,-1,4,2,0,16,12,0,0,0,0,2,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",1,"Emilia Bernal","L/DS",3,0,0,0,0,0,1,0,3,6,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",14,"Anna Herrington","MB",2,3,1,8,0.25,1,0,0,1,0,0,0,0,1,3,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",12,"Sam Hoppes","OPP",3,5,1,12,0.333,0,0,0,3,0,0,0,4,0,7,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",24,"Sequoia Layne","OH",3,8,4,22,0.182,0,0,0,3,11,2,0,1,0,8.5,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",8,"Grace Milliken","MB",3,7,2,11,0.455,0,0,0,1,0,0,0,1,1,7.5,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",10,"Aubrey Moore","S",3,0,0,0,0,13,3,0,4,0,0,0,0,0,3,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",15,"Lucy Mott","S",3,1,0,1,1,19,1,0,3,0,0,0,0,0,2,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",33,"Isabelle Poehlein","OPP",2,1,1,6,0,0,0,0,1,0,0,0,0,0,1,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",17,"Cornelia Roach","MB",3,4,0,6,0.667,0,0,2,2,0,0,1,4,2,7,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",13,"Audrey Ross","OH",2,6,2,11,0.364,0,3,0,6,8,0,0,0,0,9,0
"Boston College","2024-2025",2024-09-07,"Boston College","ACC","Central Conn. St.","NEC","Home",2,"Halle Schroder","OH",1,3,0,9,0.333,0,0,0,2,3,0,0,0,0,3,0
