Season,Date,ContestID,Team,Conference,Opponent Team,Opponent Conference,Location,Number,Player,P,S,Kills,Errors,TotalAttacks,HitPct,Assists,Aces,SErr,Digs,RetAtt,RErr,BlockSolos,BlockAssists,BErr,PTS,BHE,SetErr,SetAtt,ServeAtt,TotalBlocks
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,27,Ella Boersema,MB,3,7,8,19,-0.053,1,0,1,1,0,0,0,1,0,7.5,0,0.0,2.0,7.0,1
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,77,Keondreya Granberry,MB,3,3,3,13,0.0,0,0,0,4,1,1,2,1,0,5.5,0,0.0,2.0,3.0,3
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,23,Victoria Gray,MB,3,5,2,13,0.231,0,0,0,1,1,0,0,2,0,6.0,0,0.0,0.0,0.0,2
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,5,Audrey Jackson,DS,3,0,0,0,0.0,0,0,0,2,13,0,0,0,0,0.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,24,Jaidyn Jager,OH,3,7,8,31,-0.032,0,0,3,4,22,3,0,1,1,7.5,0,0.0,3.0,5.0,1
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,12,Teodora Kričković,S,3,0,1,5,-0.2,22,0,0,4,1,0,0,2,0,1.0,0,0.0,74.0,10.0,2
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,7,Hannah Leftridge,DS,3,0,0,0,0.0,1,0,1,5,21,2,0,0,0,0.0,0,0.0,4.0,6.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,14,Emma Segal,DS,3,0,0,0,0.0,0,0,0,3,0,0,0,0,0,0.0,0,0.0,1.0,2.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,1,Sara Snowbarger,OH,3,2,0,7,0.286,0,0,0,1,8,1,1,1,0,3.5,0,0.0,3.0,8.0,2
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,2,Avery Freeman,DS,2,0,0,0,0.0,1,0,2,0,0,0,0,0,0,0.0,0,0.0,1.0,4.0,0
2026-2027,2026-08-28,6583616,Indiana,Big Ten,Louisville,ACC,Neutral,18,Avery Daum,OH,1,2,0,4,0.5,0,0,0,1,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,24,Kalyssa Blackshear,OPP,3,9,2,21,0.333,0,0,0,1,0,0,0,4,0,11.0,0,0.0,0.0,0.0,4
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,44,Brooke Bultema,MB,3,0,1,3,-0.333,0,0,0,0,0,0,0,2,0,1.0,0,0.0,0.0,2.0,2
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,8,Nayelis Cabello,S,3,3,0,4,0.75,26,1,2,6,0,0,0,1,0,4.5,0,0.0,58.0,10.0,1
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,7,Chloe Chicoine,OH,3,11,2,22,0.409,0,0,0,7,10,0,1,2,0,13.0,0,0.0,0.0,7.0,3
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,6,Hannah Kenny,S,3,0,0,0,0.0,2,1,1,4,2,0,0,0,0,1.0,0,0.0,2.0,8.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,2,Chloe Meester,OH,3,10,3,20,0.35,0,3,2,1,7,0,0,0,0,13.0,0,0.0,0.0,21.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,21,Payton Petersen,L,3,0,0,0,0.0,6,1,0,9,9,0,0,0,0,1.0,0,0.0,9.0,19.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,3,Kamden Schrand,L/DS,3,0,0,0,0.0,0,0,0,7,10,0,0,0,0,0.0,0,0.0,3.0,0.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,11,Hannah Sherman,MB,3,2,1,4,0.25,0,0,0,0,0,0,1,4,0,5.0,0,0.0,1.0,0.0,5
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,22,Blair Thiebaud,S,3,1,1,2,0.0,3,1,1,1,0,0,0,1,0,2.5,0,0.0,7.0,4.0,1
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,10,Elsi Karjanlahti,L/DS,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,4,Addison Makun,MB,1,1,1,2,0.0,0,0,0,0,0,0,0,0,0,1.0,0,,,,0
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,54,Elli Strecker,MB,1,2,0,3,0.667,0,0,0,0,0,0,0,2,0,3.0,0,,,,2
2026-2027,2026-08-28,6583616,Louisville,ACC,Indiana,Big Ten,Neutral,17,Molly Urban,L/DS,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,5,Gigi Artiles,OH,4,11,7,29,0.138,1,2,3,8,2,0,0,3,1,14.5,0,0.0,2.0,15.0,3
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,9,Ana Julia Bleeker,L/DS,4,0,0,0,0.0,1,0,3,7,21,0,0,0,0,0.0,0,0.0,10.0,18.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,12,Chloe Elarton,S,4,1,0,3,0.333,36,0,1,9,0,0,0,2,1,2.0,0,0.0,89.0,10.0,2
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,11,Kendal Kemp,MB,4,2,1,7,0.143,0,0,0,1,1,0,0,8,3,6.0,0,0.0,0.0,0.0,8
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,13,Bianna Muoneke,OH,4,22,5,55,0.309,4,1,1,9,14,0,0,1,0,23.5,1,0.0,6.0,13.0,1
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,4,Kaiya Tyson,S,4,1,0,2,0.5,0,0,0,2,0,0,0,3,0,2.5,0,0.0,8.0,0.0,3
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,39,Alyssa Worden,OH,4,6,6,24,0.0,1,0,3,11,45,5,0,0,0,6.0,0,0.0,1.0,12.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,1,Tori Harper,MB,3,4,0,6,0.667,0,2,2,1,0,0,0,2,0,7.0,0,0.0,0.0,15.0,2
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,14,Emma Bryson,MB,2,1,0,2,0.5,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0.0,5.0,0
2026-2027,2026-09-01,6583617,Georgia,SEC,Indiana,Big Ten,Neutral,15,Marin Collins,OH,1,0,0,0,0.0,0,0,0,0,3,0,0,1,0,0.5,0,0.0,0.0,1.0,1
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,27,Ella Boersema,MB,4,12,0,18,0.667,0,1,2,4,0,0,0,0,0,13.0,0,0.0,0.0,6.0,0
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,77,Keondreya Granberry,MB,4,8,6,18,0.111,0,2,3,3,2,0,0,4,1,12.0,0,0.0,0.0,17.0,4
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,23,Victoria Gray,MB,4,7,2,17,0.294,0,0,0,1,0,0,0,1,0,7.5,0,0.0,0.0,0.0,1
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,5,Audrey Jackson,DS,4,0,1,1,-1.0,3,0,0,6,12,0,0,0,0,0.0,0,0.0,5.0,0.0,0
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,24,Jaidyn Jager,OH,4,19,7,50,0.24,1,0,1,8,28,3,1,2,0,21.0,0,0.0,4.0,16.0,3
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,12,Teodora Kričković,S,4,3,1,6,0.333,50,0,1,6,0,0,0,2,0,4.0,0,0.0,108.0,17.0,2
2026-2027,2026-09-01,6583617,Indiana,Big Ten,Georgia,SEC,Neutral,7,Hannah Leftridge,DS,4,0,1,2,-0.5,3,2,1,17,22,1,0,0,0,2.0,0,0.0,14.0,15.0,0
